Team,Opposition,Span,Mat,Won,Lost,Draw,Tied,Tie+W,Tie+L,NR,W/L,%W,%L,%D,%
New Zealand,v Pakistan,1973-2023,116,51,61,0,1,0,0,3,0.836,43.96,52.58,0,45.57
New Zealand,v Scotland,1999-2022,4,4,0,0,0,0,0,0,-,100,0,0,100
New Zealand,v South Africa,1992-2023,72,25,42,0,0,0,0,5,0.595,34.72,58.33,0,37.31
New Zealand,v Sri Lanka,1979-2023,102,52,41,0,1,0,0,8,1.268,50.98,40.19,0,55.85
New Zealand,v United Arab Emirates,1996-1996,1,1,0,0,0,0,0,0,-,100,0,0,100
New Zealand,v United States of America,2004-2004,1,1,0,0,0,0,0,0,-,100,0,0,100
New Zealand,v West Indies,1975-2022,68,30,31,0,0,0,0,7,0.967,44.11,45.58,0,49.18
New Zealand,v Zimbabwe,1987-2015,38,27,9,0,1,0,0,1,3,71.05,23.68,0,74.32
Oman,v Ireland,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
Oman,v Namibia,2019-2022,7,2,5,0,0,0,0,0,0.4,28.57,71.42,0,28.57
Oman,v Nepal,2020-2023,7,4,3,0,0,0,0,0,1.333,57.14,42.85,0,57.14
Oman,v Netherlands,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
Oman,v Papua New Guinea,2019-2022,6,6,0,0,0,0,0,0,-,100,0,0,100
Oman,v Scotland,2019-2023,7,1,5,0,0,0,0,1,0.2,14.28,71.42,0,16.66
Oman,v Sri Lanka,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
Oman,v United Arab Emirates,2020-2023,8,4,3,0,1,0,0,0,1.333,50,37.5,0,56.25
Oman,v United States of America,2020-2022,6,5,1,0,0,0,0,0,5,83.33,16.66,0,83.33
Oman,v West Indies,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
Oman,v Zimbabwe,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
Pakistan,v Afghanistan,2012-2023,8,7,1,0,0,0,0,0,7,87.5,12.5,0,87.5
Pakistan,v Australia,1975-2023,108,34,70,0,1,0,0,3,0.485,31.48,64.81,0,32.85
Pakistan,v Bangladesh,1986-2023,39,34,5,0,0,0,0,0,6.8,87.17,12.82,0,87.17
Pakistan,v Canada,1979-2011,2,2,0,0,0,0,0,0,-,100,0,0,100
Pakistan,v England,1974-2023,92,32,57,0,0,0,0,3,0.561,34.78,61.95,0,35.95
Pakistan,v Hong Kong,2004-2018,3,3,0,0,0,0,0,0,-,100,0,0,100
Pakistan,v India,1978-2023,135,73,57,0,0,0,0,5,1.28,54.07,42.22,0,56.15
Pakistan,v Ireland,2007-2016,7,5,1,0,1,0,0,0,5,71.42,14.28,0,78.57
Pakistan,v Kenya,1996-2011,6,6,0,0,0,0,0,0,-,100,0,0,100
Pakistan,v Namibia,2003-2003,1,1,0,0,0,0,0,0,-,100,0,0,100
Pakistan,v Nepal,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
Pakistan,v Netherlands,1996-2023,7,7,0,0,0,0,0,0,-,100,0,0,100
Pakistan,v New Zealand,1973-2023,116,61,51,0,1,0,0,3,1.196,52.58,43.96,0,54.42
Pakistan,v Scotland,1999-2013,3,3,0,0,0,0,0,0,-,100,0,0,100
Pakistan,v South Africa,1992-2023,83,30,52,0,0,0,0,1,0.576,36.14,62.65,0,36.58
Pakistan,v Sri Lanka,1975-2023,157,93,59,0,1,0,0,4,1.576,59.23,37.57,0,61.11
Pakistan,v United Arab Emirates,1994-2015,3,3,0,0,0,0,0,0,-,100,0,0,100
Pakistan,v West Indies,1975-2022,137,63,71,0,3,0,0,0,0.887,45.98,51.82,0,47.08
Pakistan,v Zimbabwe,1992-2020,62,54,4,0,1,0,1,2,13.5,87.09,6.45,0,91.66
Papua New Guinea,v Canada,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
Papua New Guinea,v Hong Kong,2014-2018,8,4,4,0,0,0,0,0,1,50,50,0,50
Papua New Guinea,v Ireland,2018-2018,1,0,1,0,0,0,0,0,0,0,100,0,-
Papua New Guinea,v Jersey,2023-2023,1,0,1,0,0,0,0,0,0,0,100,0,-
Papua New Guinea,v Namibia,2019-2023,7,0,7,0,0,0,0,0,0,0,100,0,-
Papua New Guinea,v Nepal,2021-2023,10,2,8,0,0,0,0,0,0.25,20,80,0,20
Papua New Guinea,v Oman,2019-2022,6,0,6,0,0,0,0,0,0,0,100,0,-
Papua New Guinea,v Scotland,2017-2022,10,1,9,0,0,0,0,0,0.111,10,90,0,10
Papua New Guinea,v United Arab Emirates,2017-2023,11,5,6,0,0,0,0,0,0.833,45.45,54.54,0,45.45
Papua New Guinea,v United States of America,2019-2023,10,2,7,0,1,0,0,0,0.285,20,70,0,25
Papua New Guinea,v West Indies,2018-2018,1,0,1,0,0,0,0,0,0,0,100,0,-
Scotland,v Afghanistan,2009-2019,13,4,8,0,0,0,0,1,0.5,30.76,61.53,0,33.33
Scotland,v Australia,1999-2015,5,0,5,0,0,0,0,0,0,0,100,0,-
Scotland,v Bangladesh,1999-2015,4,0,4,0,0,0,0,0,0,0,100,0,-
Scotland,v Bermuda,2007-2007,1,0,1,0,0,0,0,0,0,0,100,0,-
Scotland,v Canada,2007-2014,9,7,2,0,0,0,0,0,3.5,77.77,22.22,0,77.77
Scotland,v England,2008-2018,5,1,3,0,0,0,0,1,0.333,20,60,0,25
Scotland,v Hong Kong,2016-2018,5,2,2,0,0,0,0,1,1,40,40,0,50
Scotland,v India,2007-2007,1,0,1,0,0,0,0,0,0,0,100,0,-
Scotland,v Ireland,2006-2023,21,5,15,0,0,0,0,1,0.333,23.8,71.42,0,25
Scotland,v Kenya,2007-2014,9,5,3,0,0,0,0,1,1.666,55.55,33.33,0,62.5
Scotland,v Namibia,2022-2023,6,5,1,0,0,0,0,0,5,83.33,16.66,0,83.33
Scotland,v Nepal,2022-2023,6,3,3,0,0,0,0,0,1,50,50,0,50
Scotland,v Netherlands,2006-2023,12,7,4,0,0,0,0,1,1.75,58.33,33.33,0,63.63
Scotland,v New Zealand,1999-2022,4,0,4,0,0,0,0,0,0,0,100,0,-
Scotland,v Oman,2019-2023,7,5,1,0,0,0,0,1,5,71.42,14.28,0,83.33
Scotland,v Pakistan,1999-2013,3,0,3,0,0,0,0,0,0,0,100,0,-
Scotland,v Papua New Guinea,2017-2022,10,9,1,0,0,0,0,0,9,90,10,0,90
Scotland,v South Africa,2007-2007,1,0,1,0,0,0,0,0,0,0,100,0,-
Scotland,v Sri Lanka,2011-2023,4,0,4,0,0,0,0,0,0,0,100,0,-
Scotland,v United Arab Emirates,2014-2023,13,9,4,0,0,0,0,0,2.25,69.23,30.76,0,69.23
Scotland,v United States of America,2019-2022,6,3,3,0,0,0,0,0,1,50,50,0,50
Scotland,v West Indies,1999-2023,4,1,3,0,0,0,0,0,0.333,25,75,0,25
Scotland,v Zimbabwe,2017-2023,4,2,1,0,1,0,0,0,2,50,25,0,62.5
South Africa,v Afghanistan,2019-2023,2,2,0,0,0,0,0,0,-,100,0,0,100
South Africa,v Australia,1992-2023,109,55,50,0,3,0,0,1,1.1,50.45,45.87,0,52.31
South Africa,v Bangladesh,2002-2023,25,19,6,0,0,0,0,0,3.166,76,24,0,76
South Africa,v Canada,2003-2003,1,1,0,0,0,0,0,0,-,100,0,0,100
South Africa,v England,1992-2023,70,34,30,0,1,0,0,5,1.133,48.57,42.85,0,53.07
South Africa,v India,1991-2023,91,50,38,0,0,0,0,3,1.315,54.94,41.75,0,56.81
South Africa,v Ireland,2007-2021,8,6,1,0,0,0,0,1,6,75,12.5,0,85.71
South Africa,v Kenya,1996-2008,10,10,0,0,0,0,0,0,-,100,0,0,100
South Africa,v Netherlands,1996-2023,8,6,1,0,0,0,0,1,6,75,12.5,0,85.71
South Africa,v New Zealand,1992-2023,72,42,25,0,0,0,0,5,1.68,58.33,34.72,0,62.68
South Africa,v Pakistan,1992-2023,83,52,30,0,0,0,0,1,1.733,62.65,36.14,0,63.41
South Africa,v Scotland,2007-2007,1,1,0,0,0,0,0,0,-,100,0,0,100
South Africa,v Sri Lanka,1992-2023,81,46,33,0,1,0,0,1,1.393,56.79,40.74,0,58.12
South Africa,v United Arab Emirates,1996-2015,2,2,0,0,0,0,0,0,-,100,0,0,100
South Africa,v West Indies,1992-2023,64,45,16,0,1,0,0,2,2.812,70.31,25,0,73.38
South Africa,v Zimbabwe,1992-2018,41,38,2,0,0,0,0,1,19,92.68,4.87,0,95
Sri Lanka,v Afghanistan,2014-2023,12,7,4,0,0,0,0,1,1.75,58.33,33.33,0,63.63
Sri Lanka,v Australia,1975-2023,103,35,64,0,0,0,0,4,0.546,33.98,62.13,0,35.35
Sri Lanka,v Bangladesh,1986-2023,54,42,10,0,0,0,0,2,4.2,77.77,18.51,0,80.76
Sri Lanka,v Bermuda,2007-2007,1,1,0,0,0,0,0,0,-,100,0,0,100
Sri Lanka,v Canada,2003-2011,2,2,0,0,0,0,0,0,-,100,0,0,100
Sri Lanka,v England,1982-2023,79,37,38,0,1,0,0,3,0.973,46.83,48.1,0,49.34
Sri Lanka,v India,1979-2023,168,57,99,0,1,0,0,11,0.575,33.92,58.92,0,36.62
Sri Lanka,v Ireland,2007-2023,5,5,0,0,0,0,0,0,-,100,0,0,100
Sri Lanka,v Kenya,1996-2011,6,5,1,0,0,0,0,0,5,83.33,16.66,0,83.33
Sri Lanka,v Netherlands,2002-2023,6,6,0,0,0,0,0,0,-,100,0,0,100
Sri Lanka,v New Zealand,1979-2023,102,41,52,0,1,0,0,8,0.788,40.19,50.98,0,44.14
Sri Lanka,v Oman,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
Sri Lanka,v Pakistan,1975-2023,157,59,93,0,1,0,0,4,0.634,37.57,59.23,0,38.88
Sri Lanka,v Scotland,2011-2023,4,4,0,0,0,0,0,0,-,100,0,0,100
Sri Lanka,v South Africa,1992-2023,81,33,46,0,1,0,0,1,0.717,40.74,56.79,0,41.87
Sri Lanka,v United Arab Emirates,2004-2023,3,3,0,0,0,0,0,0,-,100,0,0,100
Sri Lanka,v West Indies,1975-2023,64,30,31,0,0,0,0,3,0.967,46.87,48.43,0,49.18
Sri Lanka,v Zimbabwe,1992-2023,61,47,12,0,0,0,0,2,3.916,77.04,19.67,0,79.66
United Arab Emirates,v Afghanistan,2014-2018,6,3,3,0,0,0,0,0,1,50,50,0,50
United Arab Emirates,v Bangladesh,2008-2008,1,0,1,0,0,0,0,0,0,0,100,0,-
United Arab Emirates,v Canada,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
United Arab Emirates,v England,1996-1996,1,0,1,0,0,0,0,0,0,0,100,0,-
United Arab Emirates,v Hong Kong,2014-2017,4,2,2,0,0,0,0,0,1,50,50,0,50
United Arab Emirates,v India,1994-2015,3,0,3,0,0,0,0,0,0,0,100,0,-
